"year","jurisdiction","title1","avg.scale.score","accommodations.permitted"
2000,"Arizona","No",NA,"no"
2002,"Arizona","Yes, for school purp",NA,"yes"
2002,"Arizona","Yes, for students",NA,"yes"
2002,"Arizona","No",NA,"yes"
2003,"Arizona","Yes, for school purp",NA,"yes"
2003,"Arizona","Yes, for students",NA,"yes"
2003,"Arizona","No",NA,"yes"
2005,"Arizona","Yes, for school purp",190.772697711774,"yes"
2005,"Arizona","Yes, for students",210.093767810077,"yes"
2005,"Arizona","No",224.119116124661,"yes"
2007,"Arizona","Yes, for school purp",194.076314362989,"yes"
2007,"Arizona","Yes, for students",213.274856108452,"yes"
2007,"Arizona","No",222.263284843072,"yes"
2009,"Arizona","Yes, for school purp",198.740135849734,"yes"
2009,"Arizona","Yes, for students",208.97157375658,"yes"
2009,"Arizona","No",227.551410288569,"yes"
2011,"Arizona","Yes, for school purp",202.269725661241,"yes"
2011,"Arizona","Yes, for students",212.998750590693,"yes"
2011,"Arizona","No",229.789785756602,"yes"
2013,"Arizona","Yes, for school purp",200.510563752116,"yes"
2013,"Arizona","Yes, for students",217.086949485484,"yes"
2013,"Arizona","No",231.398923144165,"yes"
2015,"Arizona","Yes, for school purp",204.626266210915,"yes"
2015,"Arizona","Yes, for students",223.712531735755,"yes"
2015,"Arizona","No",236.860500103969,"yes"
2017,"Arizona","Yes, for school purp",205.250812567724,"yes"
2017,"Arizona","Yes, for students",222.611505376364,"yes"
2017,"Arizona","No",241.178092457695,"yes"
2019,"Arizona","Yes, for school purp",204.975871141648,"yes"
2019,"Arizona","Yes, for students",223.849312085165,"yes"
2019,"Arizona","No",231.32920514791,"yes"
1992,"Arkansas","Yes, for school purp",NA,"no"
1992,"Arkansas","Yes, for students",NA,"no"
1992,"Arkansas","No",NA,"no"
1994,"Arkansas","Yes, for school purp",NA,"no"
1994,"Arkansas","Yes, for students",NA,"no"
1994,"Arkansas","No",NA,"no"
1998,"Arkansas","Yes, for school purp",NA,"yes"
1998,"Arkansas","Yes, for school purp",NA,"no"
1998,"Arkansas","Yes, for students",NA,"yes"
1998,"Arkansas","Yes, for students",NA,"no"
1998,"Arkansas","No",NA,"yes"
1998,"Arkansas","No",NA,"no"
2000,"Arkansas","Yes, for school purp",NA,"yes"
2000,"Arkansas","Yes, for school purp",NA,"no"
2000,"Arkansas","Yes, for students",NA,"yes"
2000,"Arkansas","Yes, for students",NA,"no"
2000,"Arkansas","No",NA,"yes"
2000,"Arkansas","No",NA,"no"
2002,"Arkansas","Yes, for school purp",NA,"yes"
2002,"Arkansas","Yes, for students",NA,"yes"
2002,"Arkansas","No",NA,"yes"
2003,"Arkansas","Yes, for school purp",NA,"yes"
2003,"Arkansas","Yes, for students",NA,"yes"
2003,"Arkansas","No",NA,"yes"
2005,"Arkansas","Yes, for school purp",213.081369888946,"yes"
2005,"Arkansas","Yes, for students",219.409387622585,"yes"
2005,"Arkansas","No",234.632514378314,"yes"
2007,"Arkansas","Yes, for school purp",213.56401383638,"yes"
2007,"Arkansas","Yes, for students",225.316761583248,"yes"
2007,"Arkansas","No",233.894660223662,"yes"
2009,"Arkansas","Yes, for school purp",212.58113492865,"yes"
2009,"Arkansas","Yes, for students",222.129979518608,"yes"
2009,"Arkansas","No",227.95576970452,"yes"
2011,"Arkansas","Yes, for school purp",213.392318092794,"yes"
2011,"Arkansas","Yes, for students",222.761180751027,"yes"
2011,"Arkansas","No",236.300549213054,"yes"
2013,"Arkansas","Yes, for school purp",213.919314817144,"yes"
2013,"Arkansas","Yes, for students",225.885995044445,"yes"
2013,"Arkansas","No",232.342571394486,"yes"
2015,"Arkansas","Yes, for school purp",216.449580106672,"yes"
2015,"Arkansas","Yes, for students",222.005565840597,"yes"
2015,"Arkansas","No",236.75754415544,"yes"
2017,"Arkansas","Yes, for school purp",214.044422688863,"yes"
2017,"Arkansas","Yes, for students",218.298460302734,"yes"
2017,"Arkansas","No",229.208169273948,"yes"
2019,"Arkansas","Yes, for school purp",212.055625470631,"yes"
2019,"Arkansas","Yes, for students",218.335457388661,"yes"
2019,"Arkansas","No",238.653421605358,"yes"
1992,"California","Yes, for school purp",NA,"no"
1992,"California","Yes, for students",NA,"no"
1992,"California","No",NA,"no"
1994,"California","Yes, for school purp",NA,"no"
1994,"California","Yes, for students",NA,"no"
1994,"California","No",NA,"no"
1998,"California","Yes, for school purp",NA,"yes"
1998,"California","Yes, for school purp",NA,"no"
1998,"California","Yes, for students",NA,"yes"
1998,"California","Yes, for students",NA,"no"
1998,"California","No",NA,"yes"
1998,"California","No",NA,"no"
2000,"California","Yes, for school purp",NA,"yes"
2000,"California","Yes, for school purp",NA,"no"
2000,"California","Yes, for students",NA,"yes"
2000,"California","Yes, for students",NA,"no"
2000,"California","No",NA,"yes"
2000,"California","No",NA,"no"
2002,"California","Yes, for school purp",NA,"yes"
2002,"California","Yes, for students",NA,"yes"
2002,"California","No",NA,"yes"
2003,"California","Yes, for school purp",NA,"yes"
2003,"California","Yes, for students",NA,"yes"
2003,"California","No",NA,"yes"
2005,"California","Yes, for school purp",194.487539613859,"yes"
2005,"California","Yes, for students",206.446096541383,"yes"
2005,"California","No",226.943857936561,"yes"
2007,"California","Yes, for school purp",195.957909469821,"yes"
2007,"California","Yes, for students",208.847332323881,"yes"
2007,"California","No",228.569147545727,"yes"
2009,"California","Yes, for school purp",196.778306063048,"yes"
2009,"California","Yes, for students",213.548196247478,"yes"
2009,"California","No",229.497445069809,"yes"
2011,"California","Yes, for school purp",200.802044765223,"yes"
2011,"California","Yes, for students",211.73814553485,"yes"
2011,"California","No",232.424774348468,"yes"
2013,"California","Yes, for school purp",201.838628634369,"yes"
2013,"California","Yes, for students",209.615282511298,"yes"
2013,"California","No",228.124864024877,"yes"
2015,"California","Yes, for school purp",202.215207515016,"yes"
2015,"California","Yes, for students",217.374539662237,"yes"
2015,"California","No",233.181948229635,"yes"
2017,"California","Yes, for school purp",203.280735545212,"yes"
2017,"California","Yes, for students",211.451386804425,"yes"
2017,"California","No",238.354763561637,"yes"
2019,"California","Yes, for school purp",206.961747110793,"yes"
2019,"California","Yes, for students",209.956024223863,"yes"
2019,"California","No",239.343344391931,"yes"
1992,"Colorado","Yes, for school purp",NA,"no"
1992,"Colorado","Yes, for students",NA,"no"
1992,"Colorado","No",NA,"no"
1994,"Colorado","Yes, for school purp",NA,"no"
1994,"Colorado","Yes, for students",NA,"no"
1994,"Colorado","No",NA,"no"
1998,"Colorado","Yes, for school purp",NA,"yes"
1998,"Colorado","Yes, for school purp",NA,"no"
1998,"Colorado","Yes, for students",NA,"yes"
1998,"Colorado","Yes, for students",NA,"no"
1998,"Colorado","No",NA,"yes"
1998,"Colorado","No",NA,"no"
2000,"Colorado","Yes, for school purp",NA,"yes"
2000,"Colorado","Yes, for school purp",NA,"no"
2000,"Colorado","Yes, for students",NA,"yes"
2000,"Colorado","Yes, for students",NA,"no"
2000,"Colorado","No",NA,"yes"
2000,"Colorado","No",NA,"no"
2002,"Colorado","Yes, for school purp",NA,"yes"
2002,"Colorado","Yes, for students",NA,"yes"
2002,"Colorado","No",NA,"yes"
2003,"Colorado","Yes, for school purp",NA,"yes"
2003,"Colorado","Yes, for students",NA,"yes"
2003,"Colorado","No",NA,"yes"
2005,"Colorado","Yes, for school purp",209.81910453739,"yes"
2005,"Colorado","Yes, for students",223.995514751065,"yes"
2005,"Colorado","No",228.89321202222,"yes"
2007,"Colorado","Yes, for school purp",209.040897581093,"yes"
2007,"Colorado","Yes, for students",222.101420769918,"yes"
2007,"Colorado","No",232.551150690892,"yes"
2009,"Colorado","Yes, for school purp",207.955876770914,"yes"
2009,"Colorado","Yes, for students",221.069191529776,"yes"
2009,"Colorado","No",234.938813609974,"yes"
2011,"Colorado","Yes, for school purp",203.454942375914,"yes"
2011,"Colorado","Yes, for students",219.9124145279,"yes"
2011,"Colorado","No",236.130280632526,"yes"
2013,"Colorado","Yes, for school purp",208.722994986938,"yes"
2013,"Colorado","Yes, for students",221.624584574374,"yes"
2013,"Colorado","No",235.092495606357,"yes"
2015,"Colorado","Yes, for school purp",206.706369325266,"yes"
2015,"Colorado","Yes, for students",219.333924694429,"yes"
2015,"Colorado","No",235.930813852843,"yes"
2017,"Colorado","Yes, for school purp",211.623065781212,"yes"
2017,"Colorado","Yes, for students",216.706426802502,"yes"
2017,"Colorado","No",233.82625404151,"yes"
2019,"Colorado","Yes, for school purp",211.389591534333,"yes"
2019,"Colorado","Yes, for students",219.830636330237,"yes"
2019,"Colorado","No",236.037780539827,"yes"
1992,"Connecticut","Yes, for school purp",NA,"no"
1992,"Connecticut","Yes, for students",NA,"no"
1992,"Connecticut","No",NA,"no"
1994,"Connecticut","Yes, for school purp",NA,"no"
1994,"Connecticut","Yes, for students",NA,"no"
1994,"Connecticut","No",NA,"no"
1998,"Connecticut","Yes, for school purp",NA,"yes"
1998,"Connecticut","Yes, for school purp",NA,"no"
1998,"Connecticut","Yes, for students",NA,"yes"
1998,"Connecticut","Yes, for students",NA,"no"
1998,"Connecticut","No",NA,"yes"
1998,"Connecticut","No",NA,"no"
2000,"Connecticut","Yes, for school purp",NA,"yes"
2000,"Connecticut","Yes, for school purp",NA,"no"
2000,"Connecticut","Yes, for students",NA,"yes"
2000,"Connecticut","Yes, for students",NA,"no"
2000,"Connecticut","No",NA,"yes"
2000,"Connecticut","No",NA,"no"
2002,"Connecticut","Yes, for school purp",NA,"yes"
2002,"Connecticut","Yes, for students",NA,"yes"
2002,"Connecticut","No",NA,"yes"
2003,"Connecticut","Yes, for school purp",NA,"yes"
2003,"Connecticut","Yes, for students",NA,"yes"
2003,"Connecticut","No",NA,"yes"
2005,"Connecticut","Yes, for school purp",205.438737858747,"yes"
2005,"Connecticut","Yes, for students",225.838238195913,"yes"
2005,"Connecticut","No",235.345133809103,"yes"
2007,"Connecticut","Yes, for school purp",214.012009953256,"yes"
2007,"Connecticut","Yes, for students",226.183447030633,"yes"
2007,"Connecticut","No",238.679832686491,"yes"
2009,"Connecticut","Yes, for school purp",219.428194409003,"yes"
2009,"Connecticut","Yes, for students",224.85236951654,"yes"
2009,"Connecticut","No",237.182629476861,"yes"
2011,"Connecticut","Yes, for school purp",219.10384697406,"yes"
2011,"Connecticut","Yes, for students",222.239899781204,"yes"
2011,"Connecticut","No",239.852488733229,"yes"
2013,"Connecticut","Yes, for school purp",215.577675278939,"yes"
2013,"Connecticut","Yes, for students",229.653812400291,"yes"
2013,"Connecticut","No",241.56064625781,"yes"
2015,"Connecticut","Yes, for school purp",222.072854876712,"yes"
2015,"Connecticut","Yes, for students",220.390239904347,"yes"
2015,"Connecticut","No",239.870788674832,"yes"
2017,"Connecticut","Yes, for school purp",223.361966304817,"yes"
2017,"Connecticut","Yes, for students",226.804946253895,"yes"
2017,"Connecticut","No",236.696407719068,"yes"
2019,"Connecticut","Yes, for school purp",216.137416050207,"yes"
2019,"Connecticut","Yes, for students",222.240838510349,"yes"
2019,"Connecticut","No",237.354867702714,"yes"
1992,"Delaware","Yes, for school purp",NA,"no"
1992,"Delaware","Yes, for students",NA,"no"
1992,"Delaware","No",NA,"no"
1994,"Delaware","Yes, for school purp",NA,"no"
1994,"Delaware","Yes, for students",NA,"no"
1994,"Delaware","No",NA,"no"
1998,"Delaware","Yes, for school purp",NA,"yes"
1998,"Delaware","Yes, for school purp",NA,"no"
1998,"Delaware","Yes, for students",NA,"yes"
1998,"Delaware","Yes, for students",NA,"no"
1998,"Delaware","No",NA,"yes"
1998,"Delaware","No",NA,"no"
2000,"Delaware","Yes, for school purp",NA,"yes"
2000,"Delaware","Yes, for school purp",NA,"no"
2000,"Delaware","Yes, for students",NA,"yes"
2000,"Delaware","Yes, for students",NA,"no"
2000,"Delaware","No",NA,"yes"
2000,"Delaware","No",NA,"no"
2002,"Delaware","Yes, for school purp",NA,"yes"
2002,"Delaware","Yes, for students",NA,"yes"
2002,"Delaware","No",NA,"yes"
2003,"Delaware","Yes, for school purp",NA,"yes"
2003,"Delaware","Yes, for students",NA,"yes"
2003,"Delaware","No",NA,"yes"
2005,"Delaware","Yes, for school purp",223.184836667988,"yes"
2005,"Delaware","Yes, for students",224.357051214495,"yes"
2005,"Delaware","No",235.862265859756,"yes"
2007,"Delaware","Yes, for school purp",221.0678545762,"yes"
2007,"Delaware","Yes, for students",225.984792831363,"yes"
2007,"Delaware","No",235.588323885816,"yes"
2009,"Delaware","Yes, for school purp",222.956064362443,"yes"
2009,"Delaware","Yes, for students",226.9814623836,"yes"
2009,"Delaware","No",236.474523954532,"yes"
2011,"Delaware","Yes, for school purp",223.215733839042,"yes"
2011,"Delaware","Yes, for students",227.049358105568,"yes"
2011,"Delaware","No",236.440538729361,"yes"
2013,"Delaware","Yes, for school purp",222.588524612243,"yes"
2013,"Delaware","Yes, for students",226.168769666968,"yes"
2013,"Delaware","No",237.162921545841,"yes"
2015,"Delaware","Yes, for school purp",219.517367553935,"yes"
2015,"Delaware","Yes, for students",231.47998463678,"yes"
2015,"Delaware","No",237.691329911598,"yes"
2017,"Delaware","Yes, for school purp",219.947371798816,"yes"
2017,"Delaware","Yes, for students",218.006581975336,"yes"
2017,"Delaware","No",232.205150161116,"yes"
2019,"Delaware","Yes, for school purp",214.976854027455,"yes"
2019,"Delaware","Yes, for students",213.761706126103,"yes"
2019,"Delaware","No",237.187698546848,"yes"
1992,"DC","Yes, for school purp",NA,"no"
1992,"DC","Yes, for students",NA,"no"
1992,"DC","No",NA,"no"
1994,"DC","Yes, for school purp",NA,"no"
1994,"DC","Yes, for students",NA,"no"
1994,"DC","No",NA,"no"
1998,"DC","Yes, for school purp",NA,"yes"
1998,"DC","Yes, for school purp",NA,"no"
1998,"DC","Yes, for students",NA,"yes"
1998,"DC","Yes, for students",NA,"no"
1998,"DC","No",NA,"yes"
1998,"DC","No",NA,"no"
2000,"DC","Yes, for school purp",NA,"yes"
2000,"DC","Yes, for school purp",NA,"no"
2000,"DC","Yes, for students",NA,"yes"
2000,"DC","Yes, for students",NA,"no"
2000,"DC","No",NA,"yes"
2000,"DC","No",NA,"no"
2002,"DC","Yes, for school purp",NA,"yes"
2002,"DC","Yes, for students",NA,"yes"
2002,"DC","No",NA,"yes"
2003,"DC","Yes, for school purp",NA,"yes"
2003,"DC","Yes, for students",NA,"yes"
2003,"DC","No",NA,"yes"
2005,"DC","Yes, for school purp",185.155442894112,"yes"
2005,"DC","Yes, for students",190.214133620807,"yes"
2005,"DC","No",232.606462688119,"yes"
2007,"DC","Yes, for school purp",190.375807774911,"yes"
2007,"DC","Yes, for students",195.303719526885,"yes"
2007,"DC","No",243.09772456046,"yes"
2009,"DC","Yes, for school purp",194.048157496892,"yes"
2009,"DC","Yes, for students",196.556053934473,"yes"
2009,"DC","No",229.205903759532,"yes"
2011,"DC","Yes, for school purp",191.089419111364,"yes"
2011,"DC","Yes, for students",198.972998274083,"yes"
2011,"DC","No",243.611590168751,"yes"
2013,"DC","Yes, for school purp",195.819444963942,"yes"
2013,"DC","Yes, for students",195.432338669085,"yes"
2013,"DC","No",239.386140518923,"yes"
2015,"DC","Yes, for school purp",205.980579674692,"yes"
2015,"DC","Yes, for students",199.620942986763,"yes"
2015,"DC","No",248.694413422695,"yes"
2017,"DC","Yes, for school purp",204.582762684805,"yes"
2017,"DC","Yes, for students",202.648083853408,"yes"
2017,"DC","No",246.192930680039,"yes"
2019,"DC","Yes, for school purp",NA,"yes"
2019,"DC","Yes, for students",NA,"yes"
2019,"DC","No",NA,"yes"
1992,"DoDEA","Yes, for school purp",NA,"no"
1992,"DoDEA","Yes, for students",NA,"no"
1992,"DoDEA","No",NA,"no"
1994,"DoDEA","Yes, for school purp",NA,"no"
1994,"DoDEA","Yes, for students",NA,"no"
1994,"DoDEA","No",NA,"no"
1998,"DoDEA","Yes, for school purp",NA,"yes"
1998,"DoDEA","Yes, for school purp",NA,"no"
1998,"DoDEA","Yes, for students",NA,"yes"
1998,"DoDEA","Yes, for students",NA,"no"
1998,"DoDEA","No",NA,"yes"
1998,"DoDEA","No",NA,"no"
2000,"DoDEA","Yes, for school purp",NA,"yes"
2000,"DoDEA","Yes, for school purp",NA,"no"
2000,"DoDEA","Yes, for students",NA,"yes"
2000,"DoDEA","Yes, for students",NA,"no"
2000,"DoDEA","No",NA,"yes"
2000,"DoDEA","No",NA,"no"
2002,"DoDEA","Yes, for school purp",NA,"yes"
2002,"DoDEA","Yes, for students",NA,"yes"
2002,"DoDEA","No",NA,"yes"
2003,"DoDEA","Yes, for school purp",NA,"yes"
2003,"DoDEA","Yes, for students",NA,"yes"
2003,"DoDEA","No",NA,"yes"
2005,"DoDEA","Yes, for school purp",NA,"yes"
2005,"DoDEA","Yes, for students",NA,"yes"
2005,"DoDEA","No",226.550861393361,"yes"
2007,"DoDEA","Yes, for school purp",NA,"yes"
2007,"DoDEA","Yes, for students",NA,"yes"
2007,"DoDEA","No",229.333259459486,"yes"
2009,"DoDEA","Yes, for school purp",NA,"yes"
2009,"DoDEA","Yes, for students",NA,"yes"
2009,"DoDEA","No",228.235959287231,"yes"
2011,"DoDEA","Yes, for school purp",229.646680361753,"yes"
2011,"DoDEA","Yes, for students",NA,"yes"
2011,"DoDEA","No",229.342430579835,"yes"
2013,"DoDEA","Yes, for school purp",NA,"yes"
2013,"DoDEA","Yes, for students",NA,"yes"
2013,"DoDEA","No",231.992702028161,"yes"
2015,"DoDEA","Yes, for school purp",NA,"yes"
2015,"DoDEA","Yes, for students",NA,"yes"
2015,"DoDEA","No",233.959469143753,"yes"
2017,"DoDEA","Yes, for school purp",NA,"yes"
2017,"DoDEA","Yes, for students",NA,"yes"
2017,"DoDEA","No",234.203091588952,"yes"
2019,"DoDEA","Yes, for school purp",NA,"yes"
2019,"DoDEA","Yes, for students",NA,"yes"
2019,"DoDEA","No",234.941978850182,"yes"
1992,"Florida","Yes, for school purp",NA,"no"
1992,"Florida","Yes, for students",NA,"no"
1992,"Florida","No",NA,"no"
1994,"Florida","Yes, for school purp",NA,"no"
1994,"Florida","Yes, for students",NA,"no"
1994,"Florida","No",NA,"no"
1998,"Florida","Yes, for school purp",NA,"yes"
1998,"Florida","Yes, for school purp",NA,"no"
1998,"Florida","Yes, for students",NA,"yes"
1998,"Florida","Yes, for students",NA,"no"
1998,"Florida","No",NA,"yes"
1998,"Florida","No",NA,"no"
2000,"Florida","Yes, for school purp",NA,"yes"
2000,"Florida","Yes, for school purp",NA,"no"
2000,"Florida","Yes, for students",NA,"yes"
2000,"Florida","Yes, for students",NA,"no"
2000,"Florida","No",NA,"yes"
2000,"Florida","No",NA,"no"
2002,"Florida","Yes, for school purp",NA,"yes"
2002,"Florida","Yes, for students",NA,"yes"
2002,"Florida","No",NA,"yes"
2003,"Florida","Yes, for school purp",NA,"yes"
2003,"Florida","Yes, for students",NA,"yes"
2003,"Florida","No",NA,"yes"
2005,"Florida","Yes, for school purp",213.246512184463,"yes"
2005,"Florida","Yes, for students",NA,"yes"
2005,"Florida","No",226.45631400199,"yes"
2007,"Florida","Yes, for school purp",215.505288523337,"yes"
2007,"Florida","Yes, for students",223.90789379419,"yes"
2007,"Florida","No",230.67311615939,"yes"
2009,"Florida","Yes, for school purp",219.65946962932,"yes"
2009,"Florida","Yes, for students",217.503135140966,"yes"
2009,"Florida","No",230.935230977802,"yes"
2011,"Florida","Yes, for school purp",216.735981050438,"yes"
2011,"Florida","Yes, for students",214.400795150885,"yes"
2011,"Florida","No",236.308577544017,"yes"
2013,"Florida","Yes, for school purp",216.553406771776,"yes"
2013,"Florida","Yes, for students",NA,"yes"
2013,"Florida","No",236.8320423775,"yes"
2015,"Florida","Yes, for school purp",220.438467662498,"yes"
2015,"Florida","Yes, for students",211.876181719657,"yes"
2015,"Florida","No",236.920793833996,"yes"
2017,"Florida","Yes, for school purp",219.208238396386,"yes"
2017,"Florida","Yes, for students",224.010414422134,"yes"
2017,"Florida","No",240.558325216275,"yes"
2019,"Florida","Yes, for school purp",217.868876114094,"yes"
2019,"Florida","Yes, for students",218.842100857559,"yes"
2019,"Florida","No",235.883764893858,"yes"
1992,"Georgia","Yes, for school purp",NA,"no"
1992,"Georgia","Yes, for students",NA,"no"
1992,"Georgia","No",NA,"no"
1994,"Georgia","Yes, for school purp",NA,"no"
1994,"Georgia","Yes, for students",NA,"no"
1994,"Georgia","No",NA,"no"
1998,"Georgia","Yes, for school purp",NA,"yes"
1998,"Georgia","Yes, for school purp",NA,"no"
1998,"Georgia","Yes, for students",NA,"yes"
1998,"Georgia","Yes, for students",NA,"no"
1998,"Georgia","No",NA,"yes"
1998,"Georgia","No",NA,"no"
2000,"Georgia","Yes, for school purp",NA,"yes"
2000,"Georgia","Yes, for school purp",NA,"no"
2000,"Georgia","Yes, for students",NA,"yes"
2000,"Georgia","Yes, for students",NA,"no"
2000,"Georgia","No",NA,"yes"
2000,"Georgia","No",NA,"no"
2002,"Georgia","Yes, for school purp",NA,"yes"
2002,"Georgia","Yes, for students",NA,"yes"
2002,"Georgia","No",NA,"yes"
2003,"Georgia","Yes, for school purp",NA,"yes"
2003,"Georgia","Yes, for students",NA,"yes"
2003,"Georgia","No",NA,"yes"
2005,"Georgia","Yes, for school purp",204.431981883717,"yes"
2005,"Georgia","Yes, for students",215.696512809099,"yes"
2005,"Georgia","No",228.982860714209,"yes"
2007,"Georgia","Yes, for school purp",210.728854352758,"yes"
2007,"Georgia","Yes, for students",214.366010644755,"yes"
2007,"Georgia","No",230.806893987572,"yes"
2009,"Georgia","Yes, for school purp",210.475061547242,"yes"
2009,"Georgia","Yes, for students",224.747940690695,"yes"
2009,"Georgia","No",230.83260336889,"yes"
2011,"Georgia","Yes, for school purp",212.498150472128,"yes"
2011,"Georgia","Yes, for students",224.412494028402,"yes"
2011,"Georgia","No",233.950843487111,"yes"
2013,"Georgia","Yes, for school purp",215.574718990256,"yes"
2013,"Georgia","Yes, for students",213.39224570979,"yes"
2013,"Georgia","No",239.527299453699,"yes"
2015,"Georgia","Yes, for school purp",215.24167697351,"yes"
2015,"Georgia","Yes, for students",NA,"yes"
2015,"Georgia","No",237.00863394614,"yes"
2017,"Georgia","Yes, for school purp",212.588268947522,"yes"
2017,"Georgia","Yes, for students",223.558246011166,"yes"
